Country,Hip hop/Rap/R&b,EDM,Pop,Rock/Metal,Latin/Reggaeton,Other
AUSTRALIA,31,15,65,17,0,8
CANADA,39,12,64,14,0,10
CHINA,11,23,108,4,0,21
INDIA,25,1,39,0,0,55
MEXICO,38,0,18,2,57,43
RUSSIA,27,9,48,9,2,9
USA,49,2,33,13,19,11
COLOMBIA,50,0,22,0,86,3
FRANCE,47,6,50,7,1,22
ITALY,47,7,35,2,0,9
JAPAN,0,1,63,16,0,17
PHILIPPINES,21,0,35,3,0,19
SPAIN,54,0,22,0,38,18
UNITED_KINGDOM,30,25,71,17,0,11
PUERTO_RICO,158,1,40,0,219,14
ARGENTINA,59,0,29,0,32,8
GERMANY,41,18,33,3,2,12
ISRAEL,11,0,25,5,0,8
PARAGUAY,55,0,22,0,66,6
ARGENTINA,59,0,29,0,32,8
GERMANY,41,18,33,3,2,12
ISRAEL,11,0,25,5,0,8
PARAGUAY,55,0,22,0,66,6
SOUTH_KOREA,11,0,35,1,0,1
TAIWAN,3,0,60,2,0,21
UKRAINE,23,0,26,8,0,15
CHILE,46,0,14,0,46,31
DOMINICAN_REPUBLIC,53,0,13,0,83,5
INDONESIA,5,0,32,0,0,19
PERU,52,0,25,2,72,8
THAILAND,7,0,38,4,0,1
TURKEY,26,0,8,2,0,7
VENEZUELA,45,0,25,0,63,6
DENMARK,16,8,36,7,0,5
EGYPT,52,0,26,5,0,6
HONG_KONG,2,0,74,1,0,4
IRELAND,24,31,79,9,0,10
MOROCCO,52,1,40,2,0,16
NETHERLANDS,13,39,63,7,0,12
NORWAY,13,18,44,5,0,12
PORTUGAL,13,7,28,4,0,46
VIETNAM,19,0,35,2,0,19
BOLIVIA,51,0,29,2,72,8
BULGARIA,30,7,52,17,0,20
COSTA_RICA,51,0,25,2,77,9
ECUADOR,51,0,23,0,82,3
EL_SALVADOR,51,0,17,0,81,7
GREECE,47,0,10,0,0,10
GUATEMALA,42,0,17,0,71,24
HONDURAS,50,0,17,0,86,7
MALAYSIA,9,2,59,3,0,12
PANAMA,50,0,20,0,73,4
POLAND,38,9,21,6,0,5
SWEDEN,31,17,61,4,0,10
AUSTRIA,28,17,28,6,2,12
FINLAND,27,5,53,7,0,4
HUNGARY,18,21,33,9,2,8
ICELAND,22,4,47,11,2,38
LITHUANIA,22,18,41,11,0,12
NEW_ZEALAND,44,4,48,20,0,10
NICARAGUA,51,0,15,0,83,7
ROMANIA,8,7,18,4,0,4
SINGAPORE,12,3,60,4,0,9
SOUTH_AFRICA,46,4,59,4,0,21
SWITZERLAND,39,25,59,6,2,13
URUGUAY,50,0,30,0,32,5
CZECH_REPUBLIC,42,21,36,17,2,9
INDONESIA,2,0,27,0,0,21
MONGOLIA,108,0,113,16,0,17
PAKISTAN,32,1,39,1,0,28
PHILIPPINES,24,2,37,0,0,23
SAUDI_ARABIA,11,7,57,12,0,19
BRAZIL,9,0,20,2,0,78
